timestamp,ppg_raw,diff,classification
1773387436.941181,204407,10192.0,VALID
1773387436.968395,204416,9.0,VALID
1773387436.96971,204604,188.0,VALID
1773387436.99885,204605,1.0,VALID
1773387437.028426,204730,125.0,VALID
1773387437.15079,205108,378.0,VALID
1773387437.272313,205361,253.0,VALID
1773387437.362108,205270,91.0,POSSIBLE_PHYS_CHANGE
1773387437.4508312,205755,485.0,VALID
1773387437.5712588,206182,427.0,VALID
1773387437.661281,207309,1127.0,VALID
1773387437.688821,464,206845.0,POSSIBLE_PHYS_CHANGE
1773387437.691597,529,65.0,VALID
1773387437.720167,473,56.0,VALID
1773387437.7482398,397,76.0,VALID
1773387437.779731,340,57.0,VALID
1773387437.780676,493,153.0,VALID
1773387437.8083289,677,184.0,VALID
1773387437.838874,668,9.0,VALID
1773387437.86853,643,25.0,VALID
1773387437.870551,905,262.0,VALID
1773387437.8992,1295,390.0,VALID
1773387437.928545,1813,518.0,VALID
1773387437.929559,2071,258.0,VALID
1773387437.9889548,2220,149.0,VALID
1773387437.989795,2370,150.0,VALID
1773387438.018682,2505,135.0,VALID
1773387438.020548,2831,326.0,VALID
1773387438.048465,2920,89.0,VALID
1773387438.138892,3003,83.0,VALID
1773387438.559257,262140,259137.0,POSSIBLE_PHYS_CHANGE
1773387438.560278,262140,0.0,VALID
1773387438.588629,262140,0.0,VALID
1773387438.619058,262140,0.0,VALID
1773387438.648732,262140,0.0,VALID
1773387438.650181,262140,0.0,VALID
1773387438.678708,262140,0.0,VALID
1773387438.70855,262140,0.0,VALID
1773387438.71029,262140,0.0,VALID
1773387438.738904,262140,0.0,VALID
1773387438.7684538,262140,0.0,VALID
1773387438.7989671,262140,0.0,VALID
1773387438.8003771,262140,0.0,VALID
1773387438.828286,262140,0.0,VALID
1773387438.8590028,262140,0.0,VALID
1773387438.8604102,262140,0.0,VALID
1773387438.888288,262140,0.0,VALID
1773387438.919041,262140,0.0,VALID
1773387438.9485471,262140,0.0,VALID
1773387438.95023,262140,0.0,VALID
1773387438.979041,262140,0.0,VALID
1773387439.039119,262140,0.0,VALID
1773387439.040954,262140,0.0,VALID
1773387439.041152,262140,0.0,VALID
1773387439.06833,262140,0.0,VALID
1773387439.099722,262140,0.0,VALID
1773387439.100823,262140,0.0,VALID
1773387439.128782,262140,0.0,VALID
1773387439.158921,262140,0.0,VALID
1773387439.188611,262140,0.0,VALID
1773387439.190704,262140,0.0,VALID
1773387439.220821,206265,55875.0,POSSIBLE_PHYS_CHANGE
1773387439.248506,111737,94528.0,POSSIBLE_PHYS_CHANGE
1773387439.2496178,76634,35103.0,POSSIBLE_PHYS_CHANGE
1773387439.278929,58823,17811.0,VALID
1773387439.309095,52195,6628.0,VALID
1773387439.340294,53410,1215.0,VALID
1773387439.340558,59638,6228.0,VALID
1773387439.368455,66098,6460.0,VALID
1773387439.399004,70872,4774.0,VALID
1773387439.399786,73976,3104.0,VALID
1773387439.4284768,81062,7086.0,VALID
1773387439.458806,85766,4704.0,VALID
1773387439.4884858,87622,1856.0,VALID
1773387439.489682,80135,7487.0,VALID
1773387439.518926,72708,7427.0,VALID
1773387439.5498528,63963,8745.0,VALID
1773387439.5501351,50876,13087.0,VALID
1773387439.5800629,38226,12650.0,VALID
1773387439.608442,35433,2793.0,VALID
1773387439.6690931,37650,2217.0,VALID
1773387439.669693,44172,6522.0,VALID
1773387439.669914,60899,16727.0,VALID
1773387439.729075,108700,47801.0,POSSIBLE_PHYS_CHANGE
1773387439.7309608,258434,149734.0,POSSIBLE_PHYS_CHANGE
1773387439.731216,262140,3706.0,VALID
1773387439.758521,262140,0.0,VALID
1773387439.789848,262140,0.0,VALID
1773387439.7916958,262140,0.0,VALID
1773387439.821414,262140,0.0,VALID
1773387439.852002,262140,0.0,VALID
1773387439.88054,262140,0.0,VALID
1773387439.880768,262140,0.0,VALID
1773387439.909379,262140,0.0,VALID
1773387439.938535,262140,0.0,VALID
1773387439.9404511,262140,0.0,VALID
